id,name,Lon,Lat,high,valve1,xiaoxue,defen,zhongxue,defenyi 
0,橡树湾三期,114.3420023,30.61432285,25.695,34298,武昌区余家头小学(杨家路校区),1,省实验中学初中部铁四院学校,0.8
1,融侨城二期,114.3398995,30.6099884,28.927,25836,武汉市铁四院学校(小学部),0.5,省实验中学初中部铁四院学校,0.8
2,美林青城,114.3486113,30.59463544,28.335,27463,武昌实验寄宿小学,2,武昌实验寄宿学校（初中部）,0.8
3,保利城,114.354834,30.59498949,24.932,24755,梨园小学,0.5,梨园中学,0.5
4,东园时光道,114.3343205,30.58746321,27.624,25314,武昌区徐东路小学,0.5,四美塘中学,0.4
5,绿地国际金融城,114.3168539,30.58304025,27.448,29954,武昌区三角路小学,0.5,新河街中学,0.6
6,福星惠誉水岸国际时代上城,114.3136138,30.57103468,24.296,25619,武汉市新河街学校,1,新河街中学,0.6
7,福星惠誉水岸国际澜桥公馆二期,114.3233288,30.57333065,19.225,32085,武汉市新河街学校,1,新河街中学,0.6
8,福星惠誉水岸国际澜桥公馆,114.3147779,30.56872261,19,32083,武汉市新河街学校,1,新河街中学,0.6
9,友谊国际D+公馆,114.3109316,30.5622263,21.36,26952,武汉市粮道街中学积玉桥校区小学部,0.5,粮道街中学,0.3
10,新长江香榭东沙,114.3150944,30.55714888,22.268,33286,武昌区大东门小学,0.5,第二十五中学,0.5
11,中国铁建1818中心,114.3336472,30.55575145,34.596,30416,武昌区白鹭街小学,1,中北路中学,0.7
12,星海虹城3期鸿玺公馆,114.3204829,30.5531658,38.818,23165,武昌区何家垅小学,0.5,第二十五中学,0.5
13,紫沙金苑,114.3145177,30.55100394,27.834,24813,武昌区大东门小学,0.5,第二十五中学,0.5
14,汉飞又一城,114.2888168,30.54349376,33.833,27328,武昌实验小学(解放路校区),3,武昌实验中学,1
15,奥山创意街区,114.324517,30.54263545,33.164,29185,武昌区付家坡小学,0.5,二十五中学,0.5
16,地铁紫阳城,114.3239859,30.53340329,29.863,22759,武汉市梅苑学校,0.5,武汉市梅苑中学,0.4
17,百瑞景中央四期,114.3299055,30.52722348,42,30650,武汉珞珈山小学,0.5,武汉初级中学,0.5
18,百瑞景中央生活区五期东区,114.3330813,30.52796377,43.321,26575,武汉珞珈山小学,0.5,武汉初级中学,0.5
19,丽岛2046,114.3251795,30.52134944,32.937,21904,石牌岭小学,0.5,武汉市洪山中学,0.6
20,天下龙岭广场,114.3369329,30.52207363,38.991,23156,武珞路小学(石牌岭分校),2,武汉市洪山中学,0.6
21,学府鑫苑,114.3499899,30.53359104,33.287,27564,街道口小学,0.5,洪山中学,0.6
22,复地东湖国际七期,114.352066,30.56065989,34.893,37823,武昌实验小学(东湖国际校区),3,武昌实验中学,1
23,复地东湖国际5期,114.3444592,30.56293441,36.688,39255,武昌实验小学(东湖国际校区),3,武昌实验中学,1
24,当代东湖壹号,114.3520874,30.56328846,34.672,32943,武汉市东亭学校,0.5,东亭中学,0.4
25,锦绣中北,114.3485684,30.56784821,38.81,22075,武汉市东亭学校,0.5,东亭中学,0.4
26,楚天都市雅苑,114.3545778,30.57468762,38.616,27716,武汉市东亭学校,0.5,东亭中学,0.4
27,东湖睿园,114.3592127,30.57985892,33.798,26417,梨园小学,0.5,梨园中学,0.4
28,纯水岸东湖天屿二期,114.3754776,30.58682193,26.454,34247,华中师范大学附属华侨城小学,3,在建,0.5
29,德成长江国际,114.3314625,30.59207906,26.056,23610,武昌区育红小学,0.5,湖大附中初中部,0.7
30,恒大首府,114.314511,30.57620575,29.843,29942,武汉市新河街学校,1,新河街中学,0.6
